"","position","coding","noncoding","cod","noncod","weighted_cod","weighted_noncod"
"1",10000,1829,104,118310,13210,0.0154593863578734,0.00787282361847086
"2",100000,867,75,141968,15370,0.00610701003042939,0.00487963565387118
"3",1000000,497,50,90182,10235,0.00551107759863387,0.00488519785051295
"4",1010000,236,125,59597,13118,0.00395993086900347,0.00952889159932917
"5",1020000,635,104,85552,11516,0.00742238638488872,0.00903091351163599
"6",1030000,450,69,81377,14072,0.00552981800754513,0.00490335417851052
"7",1040000,869,42,79061,7814,0.0109915128824578,0.00537496800614282
"8",1050000,883,236,75628,11702,0.011675569894748,0.0201674927362844
"9",1060000,522,91,85673,13253,0.00609293476357779,0.00686636987851807
"10",1070000,492,49,83257,6649,0.00590941302232845,0.00736952925251918
"11",1080000,741,51,93248,5089,0.00794655113246397,0.0100216152485754
"12",1090000,683,45,94607,7417,0.00721933894954919,0.00606714304975057
"13",110000,1091,162,133542,14119,0.00816971439696874,0.0114739004178766
"14",1100000,614,91,76753,12360,0.0079996873086394,0.00736245954692557
"15",1110000,468,32,94583,8482,0.00494803505915439,0.00377269511907569
"16",1120000,414,28,86708,10567,0.00477464593809106,0.0026497586826914
"17",1130000,482,81,77603,9713,0.00621110008633687,0.00833933903016576
"18",1140000,564,57,57859,5959,0.00974783525467084,0.00956536331599262
"19",1150000,254,37,32837,2872,0.00773517678228827,0.012883008356546
"20",1160000,240,19,25365,2739,0.00946185688941455,0.00693683826213947
"21",1170000,332,26,57729,6376,0.00575100902492681,0.00407779171894605
"22",1180000,1334,330,75660,11543,0.0176315093840867,0.0285887550896647
"23",1190000,619,180,84788,13799,0.00730056140019814,0.0130444235089499
"24",120000,1533,174,131371,20188,0.0116692420701677,0.00861898157321181
"25",1200000,636,131,86093,19201,0.00738736018027017,0.00682256132493099
"26",1210000,1846,82,86841,11965,0.0212572402436637,0.00685332218972002
"27",1220000,305,91,68773,8926,0.00443487996742908,0.0101949361416088
"28",1230000,735,102,90910,8046,0.00808491915080849,0.0126771066368382
"29",1240000,594,75,86831,9519,0.00684087480277781,0.00787897888433659
"30",1250000,887,54,92090,7446,0.00963188185470735,0.0072522159548751
