"","value","pos","class","bac"
"1",0,400093,"dN","sinoC"
"2",0,401161,"dN","sinoC"
"3",0,409121,"dN","sinoC"
"4",0.001,522925.5,"dN","sinoC"
"5",0,524404.5,"dN","sinoC"
"6",0,525699.5,"dN","sinoC"
"7",0,526670.5,"dN","sinoC"
"8",0.0042,527370,"dN","sinoC"
"9",0.0012,528391.5,"dN","sinoC"
"10",0.0069,529280,"dN","sinoC"
"11",0.004,530149,"dN","sinoC"
"12",0.0037,531557.5,"dN","sinoC"
"13",0.008,533536,"dN","sinoC"
"14",0,410006,"dN","sinoC"
"15",0,534834.5,"dN","sinoC"
"16",0.0026,535460,"dN","sinoC"
"17",0,536741.5,"dN","sinoC"
"18",0.0041,537754.5,"dN","sinoC"
"19",0.0108,538395.5,"dN","sinoC"
"20",0.0055,539176.5,"dN","sinoC"
"21",0,410699,"dN","sinoC"
"22",0,412036,"dN","sinoC"
"23",0,413390,"dN","sinoC"
"24",0,414090,"dN","sinoC"
"25",0,414736,"dN","sinoC"
"26",0,415890.5,"dN","sinoC"
"27",0,416629.5,"dN","sinoC"
"28",0,417138,"dN","sinoC"
"29",0,401986.5,"dN","sinoC"
"30",0,417567,"dN","sinoC"
"31",0,418022.5,"dN","sinoC"
"32",0,418082.5,"dN","sinoC"
"33",0.0012,418603,"dN","sinoC"
"34",0,419553,"dN","sinoC"
"35",0,422035,"dN","sinoC"
"36",0,425509.5,"dN","sinoC"
"37",0,428130,"dN","sinoC"
"38",0,431028.5,"dN","sinoC"
"39",0.0008,433256.5,"dN","sinoC"
"40",0,402935,"dN","sinoC"
"41",0,434254.5,"dN","sinoC"
"42",0,435070,"dN","sinoC"
"43",0,435900.5,"dN","sinoC"
"44",0,436588,"dN","sinoC"
"45",0,437436,"dN","sinoC"
"46",0,438070.5,"dN","sinoC"
"47",0,438881,"dN","sinoC"
"48",0,441295,"dN","sinoC"
"49",0,403625,"dN","sinoC"
"50",0,442965.5,"dN","sinoC"
"51",0.0017,444498.5,"dN","sinoC"
"52",0,445644.5,"dN","sinoC"
"53",0,446831,"dN","sinoC"
"54",0.0052,448013,"dN","sinoC"
"55",0,448655.5,"dN","sinoC"
"56",0,449048.5,"dN","sinoC"
"57",0.0013,449901,"dN","sinoC"
"58",0.0021,451651,"dN","sinoC"
"59",0,453638.5,"dN","sinoC"
"60",0,404647.5,"dN","sinoC"
"61",0.002,454796.5,"dN","sinoC"
"62",0,455811,"dN","sinoC"
"63",0.0083,456609,"dN","sinoC"
"64",0.0017,457451,"dN","sinoC"
"65",0,459430.5,"dN","sinoC"
"66",0.0063,460327,"dN","sinoC"
"67",0.0004,462695.5,"dN","sinoC"
"68",0.001,465021,"dN","sinoC"
"69",0,466084.5,"dN","sinoC"
"70",0.0015,467095,"dN","sinoC"
"71",0,405590,"dN","sinoC"
"72",0.0033,468719,"dN","sinoC"
"73",0,470029,"dN","sinoC"
"74",0,470635.5,"dN","sinoC"
"75",0,471808.5,"dN","sinoC"
"76",0.0034,472682.5,"dN","sinoC"
"77",0.0011,474684,"dN","sinoC"
