"","value","pos","class","bac"
"1",2.3656,2907234.5,"dN","strep"
"2",0.5891,2907851,"dN","strep"
"3",38.8562,2907912.5,"dN","strep"
"4",3.2727,2907954.5,"dN","strep"
"5",34.7219,2908044.5,"dN","strep"
"6",0.7146,2908139,"dN","strep"
"7",2.3127,2908194.5,"dN","strep"
"8",67.8315,2908233.5,"dN","strep"
"9",1.2893,2907279.5,"dN","strep"
"10",2.0104,2907360.5,"dN","strep"
"11",0.7917,2907392,"dN","strep"
"12",1.0123,2907500,"dN","strep"
"13",11.0892,2907546.5,"dN","strep"
"14",1.2183,2907618.5,"dN","strep"
"15",0.6325,2907719,"dN","strep"
"16",2.4809,2907750.5,"dN","strep"
"17",0.7955,2908591.5,"dN","strep"
"18",0.7103,2909109,"dN","strep"
"19",0.7961,2909319,"dN","strep"
"20",1.6014,2909467.5,"dN","strep"
"21",1.3179,2909521.5,"dN","strep"
"22",0.9247,2909565,"dN","strep"
"23",1.4744,2909589,"dN","strep"
"24",0.3288,2909632.5,"dN","strep"
"25",1.1761,2908636.5,"dN","strep"
"26",0.8812,2908680,"dN","strep"
"27",0.8599,2908750.5,"dN","strep"
"28",39.0359,2908816.5,"dN","strep"
"29",0.9783,2908872,"dN","strep"
"30",38.6137,2908885.5,"dN","strep"
"31",5.0322,2908960.5,"dN","strep"
"32",0.8838,2909037,"dN","strep"
"33",0.3522,2912697,"dN","strep"
"34",0.9878,2913184.5,"dN","strep"
"35",1.1674,2913235.5,"dN","strep"
"36",1.2976,2913286.5,"dN","strep"
"37",0.6073,2913336,"dN","strep"
"38",7.8437,2913348,"dN","strep"
"39",0.4995,2913363,"dN","strep"
"40",1.2832,2913382.5,"dN","strep"
"41",1.7933,2913421.5,"dN","strep"
"42",1.2313,2913501,"dN","strep"
"43",39.4432,2913606,"dN","strep"
"44",2.2201,2912737.5,"dN","strep"
"45",1.1747,2913624,"dN","strep"
"46",1.1614,2913645,"dN","strep"
"47",1.6942,2913679.5,"dN","strep"
"48",0.9106,2913711,"dN","strep"
"49",1.3147,2913739.5,"dN","strep"
"50",2.9073,2912841,"dN","strep"
"51",0.9924,2912901,"dN","strep"
"52",1.2399,2912958,"dN","strep"
"53",1.014,2913010.5,"dN","strep"
"54",0.2924,2913045,"dN","strep"
"55",1.076,2913078,"dN","strep"
"56",0.741,2913135,"dN","strep"
"57",0.2612,2886286.5,"dN","strep"
"58",0.2348,2886762,"dN","strep"
"59",1.5318,2888354.5,"dN","strep"
"60",0.2738,2887681,"dN","strep"
"61",1.1816,2888680.5,"dN","strep"
"62",0.5061,2889109.5,"dN","strep"
"63",1.1114,2889136.5,"dN","strep"
"64",1.1071,2889169.5,"dN","strep"
"65",1.6986,2889220.5,"dN","strep"
"66",2.2155,2889307.5,"dN","strep"
"67",1.4242,2889342,"dN","strep"
"68",0.924,2889403.5,"dN","strep"
"69",0.9485,2888793,"dN","strep"
