"","value","pos","class","bac"
"1",0.1568,223048.5,"dN","bass"
"2",0.1752,223135.5,"dN","bass"
"3",0,223209,"dN","bass"
"4",0.0665,223613,"dN","bass"
"5",0.0693,233454.5,"dN","bass"
"6",0.0566,364695,"dN","bass"
"7",0.3036,365226.5,"dN","bass"
"8",0.1499,365685.5,"dN","bass"
"9",0.0164,366659.5,"dN","bass"
"10",0.0124,367645,"dN","bass"
"11",0.0211,368404,"dN","bass"
"12",0.0639,369939,"dN","bass"
"13",0.03,370975.5,"dN","bass"
"14",0.0372,371928,"dN","bass"
"15",0.0322,372372.5,"dN","bass"
"16",0.0526,374881.5,"dN","bass"
"17",0.0021,234661,"dN","bass"
"18",0.013,375482,"dN","bass"
"19",0.0155,376202.5,"dN","bass"
"20",0.042,381004,"dN","bass"
"21",0.125,235749,"dN","bass"
"22",0.0701,236420.5,"dN","bass"
"23",0.2101,241937.5,"dN","bass"
"24",0.0369,242396.5,"dN","bass"
"25",0.0198,243250.5,"dN","bass"
"26",0.0804,245303.5,"dN","bass"
"27",0.0242,245758,"dN","bass"
"28",0.0343,246296,"dN","bass"
"29",0.028,248004.5,"dN","bass"
"30",0.0221,248513.5,"dN","bass"
"31",0.035,224502,"dN","bass"
"32",0.0262,249149,"dN","bass"
"33",0.0828,249734,"dN","bass"
"34",0.0614,250649,"dN","bass"
"35",0.0094,252998,"dN","bass"
"36",0.0179,254140,"dN","bass"
"37",0.0397,257197.5,"dN","bass"
"38",0.004,258144.5,"dN","bass"
"39",0.0667,258669.5,"dN","bass"
"40",0.0304,259551,"dN","bass"
"41",0.0241,260829,"dN","bass"
"42",0.0801,225656,"dN","bass"
"43",0.0472,262119,"dN","bass"
"44",0.0277,264682.5,"dN","bass"
"45",0.0235,266092,"dN","bass"
"46",0.0286,267191,"dN","bass"
"47",0.0231,268353,"dN","bass"
"48",0.0197,269579,"dN","bass"
"49",0.0131,271079.5,"dN","bass"
"50",0.0299,272483.5,"dN","bass"
"51",0.0102,273587.5,"dN","bass"
"52",0.0197,274795,"dN","bass"
"53",0.0143,227260,"dN","bass"
"54",0.126,276298,"dN","bass"
"55",0.018,281962,"dN","bass"
"56",0.0386,282683,"dN","bass"
"57",0.0355,283368.5,"dN","bass"
"58",0.0111,284886.5,"dN","bass"
"59",0,285881,"dN","bass"
"60",0.0237,286407.5,"dN","bass"
"61",0.0379,287099.5,"dN","bass"
"62",0.0173,289368,"dN","bass"
"63",0.027,290415,"dN","bass"
"64",0.0201,228188.5,"dN","bass"
"65",0.038,292524,"dN","bass"
"66",0.0502,293072.5,"dN","bass"
"67",0.027,294037,"dN","bass"
"68",0.0461,294721,"dN","bass"
"69",0.0512,298204.5,"dN","bass"
"70",0.0311,298930.5,"dN","bass"
"71",0.0933,301165.5,"dN","bass"
"72",0.4919,301495.5,"dN","bass"
"73",0.1094,301879.5,"dN","bass"
"74",0.0761,303570,"dN","bass"
"75",0.0346,304055.5,"dN","bass"
"76",0.0263,304990.5,"dN","bass"
"77",0.0292,228426.5,"dN","bass"
"78",0.0391,306046,"dN","bass"
"79",0.0429,307262.5,"dN","bass"
"80",0.156,308105.5,"dN","bass"
"81",0.0231,308529.5,"dN","bass"
"82",0.0405,309009.5,"dN","bass"
"83",0.0043,309672,"dN","bass"
"84",0.0267,310443.5,"dN","bass"
"85",0.0539,311377.5,"dN","bass"
"86",0.0245,312458.5,"dN","bass"
"87",0.0047,313070.5,"dN","bass"
"88",0.0048,313685,"dN","bass"
"89",0.0148,314411.5,"dN","bass"
"90",0.0435,228950.5,"dN","bass"
"91",0.0193,315689.5,"dN","bass"
"92",0.0037,317057.5,"dN","bass"
"93",0.0157,318324.5,"dN","bass"
"94",0.0397,320441.5,"dN","bass"
"95",0.0774,320612.5,"dN","bass"
"96",0.0127,321620,"dN","bass"
"97",0.0656,322250,"dN","bass"
"98",0.0069,322693.5,"dN","bass"
"99",0.0267,323561,"dN","bass"
"100",0.0334,324613.5,"dN","bass"
"101",0.0208,326046.5,"dN","bass"
"102",0.0054,330033,"dN","bass"
"103",0.0063,330523.5,"dN","bass"
"104",0.0597,230151.5,"dN","bass"
"105",0.0397,335709.5,"dN","bass"
"106",0.0248,338697,"dN","bass"
"107",0.083,340993.5,"dN","bass"
"108",0.0477,341979,"dN","bass"
"109",0.0262,343016,"dN","bass"
"110",0.0265,343969,"dN","bass"
"111",0.0199,345006.5,"dN","bass"
"112",0.0055,346251,"dN","bass"
"113",0.0285,347860.5,"dN","bass"
"114",0.0059,349341.5,"dN","bass"
"115",4.829,231391,"dN","bass"
"116",3.4322,231482.5,"dN","bass"
"117",1.1286,231524.5,"dN","bass"
"118",6.8137,231604,"dN","bass"
"119",45.5946,231647.5,"dN","bass"
"120",1.7506,231766,"dN","bass"
"121",14.537,231782.5,"dN","bass"
"122",18.3761,231848.5,"dN","bass"
"123",1.3859,231892,"dN","bass"
"124",0.9829,231935.5,"dN","bass"
"125",1.5279,231967,"dN","bass"
"126",3.208,231994,"dN","bass"
"127",1.2145,232081,"dN","bass"
"128",6.005,232181.5,"dN","bass"
"129",1.2612,232222,"dN","bass"
"130",1.6413,232343.5,"dN","bass"
"131",44.197,232468,"dN","bass"
"132",4.0617,232498,"dN","bass"
"133",0.4304,232571.5,"dN","bass"
"134",0.1926,232627,"dN","bass"
"135",0.6167,232657,"dN","bass"
"136",51.0353,232789,"dN","bass"
"137",1.3392,232814.5,"dN","bass"
"138",38.0056,232952.5,"dN","bass"
"139",0.0247,350424.5,"dN","bass"
"140",0.0108,351061.5,"dN","bass"
"141",0.0088,351505.5,"dN","bass"
"142",0.0908,352269,"dN","bass"
"143",0.0209,352956.5,"dN","bass"
"144",0.0558,353469.5,"dN","bass"
"145",0.0681,354622.5,"dN","bass"
"146",0.0128,355572,"dN","bass"
"147",0.0137,356972.5,"dN","bass"
"148",0.0423,359366,"dN","bass"
"149",0.0836,361605.5,"dN","bass"
"150",0.0145,363539.5,"dN","bass"
"151",0.0352,386480.5,"dN","bass"
"152",0.042,400445.5,"dN","bass"
"153",0.0268,402752,"dN","bass"
"154",0.0202,412847,"dN","bass"
"155",0.0055,523272.5,"dN","bass"
"156",0.0116,523951,"dN","bass"
"157",0.0181,526822.5,"dN","bass"
"158",0.0224,528355,"dN","bass"
"159",0.0049,413867.5,"dN","bass"
"160",0.0176,414705.5,"dN","bass"
"161",0.084,415771,"dN","bass"
"162",0.0334,416974,"dN","bass"
"163",0.0627,419873.5,"dN","bass"
"164",0.0494,420921,"dN","bass"
"165",0.077,422351.5,"dN","bass"
"166",0.0757,423542.5,"dN","bass"
"167",0.0203,424548,"dN","bass"
"168",0.0417,403830,"dN","bass"
"169",0.0472,425011.5,"dN","bass"
"170",0.0268,425533.5,"dN","bass"
"171",0.2186,425965.5,"dN","bass"
"172",0,425995.5,"dN","bass"
"173",0.0116,426186,"dN","bass"
"174",0.0084,426911,"dN","bass"
"175",0.0206,427965,"dN","bass"
"176",0.0094,429396,"dN","bass"
"177",0,430033,"dN","bass"
"178",0.0259,431305,"dN","bass"
"179",0.0076,432842.5,"dN","bass"
"180",0.0109,433788.5,"dN","bass"
"181",0.0189,434639.5,"dN","bass"
"182",0.0001,435073,"dN","bass"
"183",0.0457,435550,"dN","bass"
"184",0.094,404736.5,"dN","bass"
"185",0,436053.5,"dN","bass"
"186",0.0148,436763,"dN","bass"
"187",0.0186,437913,"dN","bass"
"188",0.0228,438890.5,"dN","bass"
"189",0.0094,439425.5,"dN","bass"
"190",0.0089,439866,"dN","bass"
"191",0.0327,440743,"dN","bass"
"192",0.0163,442226,"dN","bass"
"193",0.0082,443642.5,"dN","bass"
"194",0.029,445735,"dN","bass"
"195",0.0655,446223,"dN","bass"
"196",0.0402,446532,"dN","bass"
"197",0.0427,405538,"dN","bass"
"198",0.0372,447613.5,"dN","bass"
"199",0.0218,448747,"dN","bass"
"200",0.0285,449373,"dN","bass"
"201",0.005,450442,"dN","bass"
"202",0.019,451400.5,"dN","bass"
"203",0.0407,452178.5,"dN","bass"
"204",0.0233,453365,"dN","bass"
"205",0.0634,454310.5,"dN","bass"
"206",0.0869,454984.5,"dN","bass"
"207",0.0147,456442.5,"dN","bass"
"208",0.0242,408563.5,"dN","bass"
"209",0.0381,457409.5,"dN","bass"
"210",0.0358,458418,"dN","bass"
"211",0.0324,459435.5,"dN","bass"
"212",0.0445,460225,"dN","bass"
"213",0.0398,461095.5,"dN","bass"
"214",0.0195,461991,"dN","bass"
"215",0.0428,462751.5,"dN","bass"
"216",0.0169,463367.5,"dN","bass"
"217",0.0132,463639.5,"dN","bass"
"218",0.0199,464982,"dN","bass"
"219",0.0157,409579.5,"dN","bass"
"220",0.0381,466490,"dN","bass"
"221",0.0277,468172,"dN","bass"
"222",0.0299,470181.5,"dN","bass"
"223",0.0645,471229.5,"dN","bass"
"224",0.0167,472139,"dN","bass"
"225",0.1195,473449.5,"dN","bass"
"226",0.0161,474014,"dN","bass"
"227",0.0146,475135.5,"dN","bass"
"228",0.0082,492336,"dN","bass"
"229",0.0244,492782.5,"dN","bass"
"230",0.0043,410309.5,"dN","bass"
"231",0.0637,493215,"dN","bass"
"232",0.0313,493968,"dN","bass"
"233",0.0251,494580.5,"dN","bass"
"234",0,494796.5,"dN","bass"
"235",0.1667,495528,"dN","bass"
"236",0.0342,497172,"dN","bass"
"237",0.0121,498565.5,"dN","bass"
"238",0.0243,499711,"dN","bass"
"239",0.0081,500798.5,"dN","bass"
"240",0.0248,503371,"dN","bass"
"241",0.0197,504224,"dN","bass"
"242",0.0206,411066.5,"dN","bass"
"243",0,504856.5,"dN","bass"
"244",0.0278,505723,"dN","bass"
"245",0.0147,507302,"dN","bass"
"246",0.0047,507913,"dN","bass"
"247",0.0124,508780,"dN","bass"
"248",0.0296,510070.5,"dN","bass"
"249",0.0028,511899,"dN","bass"
"250",0.0256,513047.5,"dN","bass"
"251",0.0492,514025,"dN","bass"
"252",0.0219,515318.5,"dN","bass"
"253",0.0164,412014,"dN","bass"
"254",0.0385,515892.5,"dN","bass"
"255",0.0039,516753.5,"dN","bass"
"256",0,518797.5,"dN","bass"
"257",0,519118,"dN","bass"
"258",0.012,519821.5,"dN","bass"
"259",0.0038,520419.5,"dN","bass"
"260",0.0069,520806.5,"dN","bass"
