"","value","pos","class","bac"
"1",0.0124,2380377,"dN","ecoli"
"2",0.0157,2381318.5,"dN","ecoli"
"3",0.003,2391514,"dN","ecoli"
"4",0.034,2391881,"dN","ecoli"
"5",0.0127,2392227,"dN","ecoli"
"6",0.0125,2392942,"dN","ecoli"
"7",0.2714,2393552.5,"dN","ecoli"
"8",0.0686,2394073,"dN","ecoli"
"9",0.0142,2394724.5,"dN","ecoli"
"10",0.0012,2395823,"dN","ecoli"
"11",0.0036,2396825.5,"dN","ecoli"
"12",0,2397521.5,"dN","ecoli"
"13",0.0013,2398280.5,"dN","ecoli"
"14",0.0026,2382567,"dN","ecoli"
"15",0,2399387,"dN","ecoli"
"16",0.0091,2400819,"dN","ecoli"
"17",0.003,2402189.5,"dN","ecoli"
"18",0,2403015,"dN","ecoli"
"19",0.0037,2404168.5,"dN","ecoli"
"20",0.0008,2404771.5,"dN","ecoli"
"21",0.0668,2404861.5,"dN","ecoli"
"22",0.0046,2406851,"dN","ecoli"
"23",0.019,2408435,"dN","ecoli"
"24",0.0215,2409599.5,"dN","ecoli"
"25",0.0118,2410501,"dN","ecoli"
"26",0.0106,2411029,"dN","ecoli"
"27",0.0527,2383659.5,"dN","ecoli"
"28",0.0397,2411280.5,"dN","ecoli"
"29",0.0289,2411619.5,"dN","ecoli"
"30",0.0099,2413096,"dN","ecoli"
"31",0.0172,2414632,"dN","ecoli"
"32",0.0194,2415498,"dN","ecoli"
"33",0.0071,2417075,"dN","ecoli"
"34",0.004,2418808,"dN","ecoli"
"35",0,2419498.5,"dN","ecoli"
"36",0,2420337,"dN","ecoli"
"37",0,2421365.5,"dN","ecoli"
"38",0.005,2422359.5,"dN","ecoli"
"39",0.0406,2384608.5,"dN","ecoli"
"40",0,2423413.5,"dN","ecoli"
"41",0.0132,2424511.5,"dN","ecoli"
"42",0.0063,2426119.5,"dN","ecoli"
"43",0.0315,2426915,"dN","ecoli"
"44",0,2427990,"dN","ecoli"
"45",0,2429462,"dN","ecoli"
"46",0.0226,2432326.5,"dN","ecoli"
"47",0.0053,2433553,"dN","ecoli"
"48",0.0053,2435048.5,"dN","ecoli"
"49",0.0287,2435767.5,"dN","ecoli"
"50",0.0237,2436679,"dN","ecoli"
"51",0.032,2385319,"dN","ecoli"
"52",0.0253,2437459,"dN","ecoli"
"53",0.0261,2438454,"dN","ecoli"
"54",0.0043,2439447.5,"dN","ecoli"
"55",0.0278,2439927.5,"dN","ecoli"
"56",0.0133,2441178,"dN","ecoli"
"57",0.0084,2442886,"dN","ecoli"
"58",0.0015,2444133,"dN","ecoli"
"59",0.0049,2445051.5,"dN","ecoli"
"60",0.0097,2448705,"dN","ecoli"
"61",0.001,2450078.5,"dN","ecoli"
"62",0,2451145.5,"dN","ecoli"
"63",0.0014,2387242.5,"dN","ecoli"
"64",0.018,2452002.5,"dN","ecoli"
"65",0.0024,2452876,"dN","ecoli"
"66",0.0024,2454034,"dN","ecoli"
"67",0.0076,2455061,"dN","ecoli"
"68",0.0098,2455796,"dN","ecoli"
"69",0.012,2456995,"dN","ecoli"
"70",0.0057,2457791,"dN","ecoli"
"71",0.016,2458416,"dN","ecoli"
"72",0.0049,2459442.5,"dN","ecoli"
"73",0.0158,2460397,"dN","ecoli"
"74",0.0094,2388899,"dN","ecoli"
"75",0,2461682.5,"dN","ecoli"
"76",0.0041,2462983.5,"dN","ecoli"
"77",0.0125,2463330.5,"dN","ecoli"
"78",0.035,2463753.5,"dN","ecoli"
"79",0.0242,2464260,"dN","ecoli"
"80",0.0032,2465124,"dN","ecoli"
"81",0,2465901,"dN","ecoli"
"82",0.0051,2467055,"dN","ecoli"
"83",0.01,2468263.5,"dN","ecoli"
"84",0.1447,2468856,"dN","ecoli"
"85",0.0081,2469336,"dN","ecoli"
"86",0.0056,2390246,"dN","ecoli"
"87",0.0119,2470215.5,"dN","ecoli"
"88",0,2470939,"dN","ecoli"
"89",0.0209,2471784.5,"dN","ecoli"
"90",0.019,2472915.5,"dN","ecoli"
"91",0.0022,2473904.5,"dN","ecoli"
"92",0.014,2474599.5,"dN","ecoli"
"93",0.0057,2475328.5,"dN","ecoli"
"94",0,2476076,"dN","ecoli"
"95",0.0091,2477457.5,"dN","ecoli"
"96",0.0139,2478034,"dN","ecoli"
"97",0.0028,2391017,"dN","ecoli"
"98",0.0014,2478955.5,"dN","ecoli"
"99",0.014,2480273,"dN","ecoli"
"100",0.0189,2481499.5,"dN","ecoli"
"101",0.0118,2482896,"dN","ecoli"
"102",0.0222,2484372,"dN","ecoli"
"103",0.0034,2485694,"dN","ecoli"
"104",0.0082,2487113.5,"dN","ecoli"
"105",0.0068,2488405.5,"dN","ecoli"
"106",0.0018,2490005,"dN","ecoli"
"107",0.0122,2501040.5,"dN","ecoli"
"108",0.0095,2502785,"dN","ecoli"
"109",0.0029,2504273.5,"dN","ecoli"
"110",0,2505548,"dN","ecoli"
"111",0.0179,2506555,"dN","ecoli"
"112",0.0234,2507716,"dN","ecoli"
"113",0.1711,2508289,"dN","ecoli"
"114",0.0027,2509130.5,"dN","ecoli"
"115",0,2510383.5,"dN","ecoli"
"116",0.0032,2511371.5,"dN","ecoli"
"117",0,2512780,"dN","ecoli"
"118",0.0071,2514930.5,"dN","ecoli"
"119",0.0048,2516428.5,"dN","ecoli"
"120",0.0088,2491333,"dN","ecoli"
"121",0.0177,2517170.5,"dN","ecoli"
"122",0.0067,2517950,"dN","ecoli"
"123",0.0124,2519151,"dN","ecoli"
"124",0,2523416,"dN","ecoli"
"125",0.0082,2525119,"dN","ecoli"
"126",0,2526743.5,"dN","ecoli"
"127",0.0067,2528458,"dN","ecoli"
"128",0.006,2529814,"dN","ecoli"
"129",0.012,2530903,"dN","ecoli"
"130",0.0198,2532159.5,"dN","ecoli"
"131",0.01,2492495.5,"dN","ecoli"
"132",0.0204,2533352,"dN","ecoli"
"133",0,2534248.5,"dN","ecoli"
"134",0,2535537.5,"dN","ecoli"
"135",0,2536676,"dN","ecoli"
"136",0.0504,2538158,"dN","ecoli"
"137",0.0025,2540198,"dN","ecoli"
"138",0.0221,2541568,"dN","ecoli"
"139",0.0202,2542711,"dN","ecoli"
"140",0,2543467,"dN","ecoli"
"141",0.0078,2543934,"dN","ecoli"
"142",0.009,2494029,"dN","ecoli"
"143",0.0037,2544892.5,"dN","ecoli"
"144",0.0045,2545680,"dN","ecoli"
"145",0.0018,2546632.5,"dN","ecoli"
"146",0.0047,2547678.5,"dN","ecoli"
"147",0.0063,2548692,"dN","ecoli"
"148",0.0049,2551263.5,"dN","ecoli"
"149",0.0118,2554676.5,"dN","ecoli"
"150",0,2556055,"dN","ecoli"
"151",0.0118,2556678,"dN","ecoli"
"152",0.006,2557818.5,"dN","ecoli"
"153",0,2495184,"dN","ecoli"
"154",0,2558739,"dN","ecoli"
"155",0.1352,2559015,"dN","ecoli"
"156",0.0181,2559411,"dN","ecoli"
"157",0.0021,2560991,"dN","ecoli"
"158",0.0074,2562461,"dN","ecoli"
"159",0.0105,2564634,"dN","ecoli"
"160",0.0322,2566375.5,"dN","ecoli"
"161",0.0092,2567145.5,"dN","ecoli"
"162",0.0207,2568118.5,"dN","ecoli"
"163",0.0299,2569169,"dN","ecoli"
"164",0.038,2569935,"dN","ecoli"
"165",0.0028,2577979,"dN","ecoli"
"166",0,2495779,"dN","ecoli"
"167",0.0077,2578926,"dN","ecoli"
"168",0.0174,2579754.5,"dN","ecoli"
"169",0.0074,2581602.5,"dN","ecoli"
"170",0.0082,2583623.5,"dN","ecoli"
"171",0.0034,2585333.5,"dN","ecoli"
"172",0.0035,2586782,"dN","ecoli"
"173",0.0106,2587891,"dN","ecoli"
"174",0,2588504.5,"dN","ecoli"
"175",0.0058,2588917,"dN","ecoli"
"176",0.0133,2590146,"dN","ecoli"
"177",0,2497108,"dN","ecoli"
"178",0.003,2591417,"dN","ecoli"
"179",0.0071,2592039.5,"dN","ecoli"
"180",0.056,2592560,"dN","ecoli"
"181",0.0087,2593379.5,"dN","ecoli"
"182",0.0097,2594139,"dN","ecoli"
"183",0.0041,2595532,"dN","ecoli"
"184",0.0102,2596831,"dN","ecoli"
"185",0.0101,2598204,"dN","ecoli"
"186",0.0096,2599492,"dN","ecoli"
"187",0.0023,2600148,"dN","ecoli"
"188",0.0118,2600878,"dN","ecoli"
"189",0,2499040,"dN","ecoli"
"190",0,2601268.5,"dN","ecoli"
"191",0.015,2602020,"dN","ecoli"
"192",0.038,2602906,"dN","ecoli"
"193",0.0043,2603212.5,"dN","ecoli"
"194",0.0045,2603794.5,"dN","ecoli"
"195",0.0025,2605401,"dN","ecoli"
"196",0.0047,2606859.5,"dN","ecoli"
"197",0.0037,2608122.5,"dN","ecoli"
"198",0.0473,2608769.5,"dN","ecoli"
"199",0.0152,2609259,"dN","ecoli"
"200",0.0081,2499786,"dN","ecoli"
"201",0.0268,2609886.5,"dN","ecoli"
"202",0.0055,2611218,"dN","ecoli"
"203",0.0067,2612570,"dN","ecoli"
"204",0.0713,2613366,"dN","ecoli"
"205",0.0204,2614006.5,"dN","ecoli"
"206",0,2623782.5,"dN","ecoli"
"207",0,2624241.5,"dN","ecoli"
"208",0.039,2625531.5,"dN","ecoli"
"209",0.0447,2627512,"dN","ecoli"
"210",0.0226,2629485.5,"dN","ecoli"
"211",0.0093,2630329,"dN","ecoli"
"212",0.0075,2642843,"dN","ecoli"
"213",0.0362,2643363,"dN","ecoli"
"214",0.0278,2644075.5,"dN","ecoli"
"215",0.0161,2644682.5,"dN","ecoli"
"216",0.0253,2645221.5,"dN","ecoli"
"217",0.0075,2646216.5,"dN","ecoli"
"218",0.0068,2647267,"dN","ecoli"
"219",0.0085,2649607,"dN","ecoli"
"220",0.0046,2652765,"dN","ecoli"
"221",0.0141,2655512.5,"dN","ecoli"
"222",0.0087,2631374.5,"dN","ecoli"
"223",0.0199,2656717.5,"dN","ecoli"
