"","value","pos","class","bac"
"1",0,4807.5,"dN","pSymB"
"2",0,17534,"dN","pSymB"
"3",0,135501,"dN","pSymB"
"4",0,136786.5,"dN","pSymB"
"5",0.0063,138707.5,"dN","pSymB"
"6",0,139371,"dN","pSymB"
"7",0.0095,140097.5,"dN","pSymB"
"8",0.0022,141059,"dN","pSymB"
"9",0.0072,142161,"dN","pSymB"
"10",0.0031,142909.5,"dN","pSymB"
"11",0.0137,143658,"dN","pSymB"
"12",0.0091,144556,"dN","pSymB"
"13",0.0043,145219.5,"dN","pSymB"
"14",0,145892,"dN","pSymB"
"15",0,146651.5,"dN","pSymB"
"16",0,147449.5,"dN","pSymB"
"17",0.0169,148329,"dN","pSymB"
"18",0.0018,148956,"dN","pSymB"
"19",0.0026,149769.5,"dN","pSymB"
"20",0.0123,150440.5,"dN","pSymB"
"21",0,151407,"dN","pSymB"
"22",0,19081,"dN","pSymB"
"23",0.0022,152709.5,"dN","pSymB"
"24",0.0066,154297,"dN","pSymB"
"25",0,155781.5,"dN","pSymB"
"26",0.0071,156751.5,"dN","pSymB"
"27",0.0027,157848.5,"dN","pSymB"
"28",0.0028,159191.5,"dN","pSymB"
"29",0.0017,160032,"dN","pSymB"
"30",0,160562,"dN","pSymB"
"31",0.0059,161273.5,"dN","pSymB"
"32",0.0219,162022.5,"dN","pSymB"
"33",0.0017,162549,"dN","pSymB"
"34",0.0141,163435.5,"dN","pSymB"
"35",0.0037,164515,"dN","pSymB"
"36",0.0024,165899,"dN","pSymB"
"37",0.0099,167438.5,"dN","pSymB"
"38",0.0028,168409.5,"dN","pSymB"
"39",0.0026,169547,"dN","pSymB"
"40",0,170620.5,"dN","pSymB"
"41",0.001,171804.5,"dN","pSymB"
"42",0.0018,172858,"dN","pSymB"
"43",0.0062,19859,"dN","pSymB"
"44",0.0037,174860.5,"dN","pSymB"
"45",0,176033.5,"dN","pSymB"
"46",0,178531,"dN","pSymB"
"47",0,179226,"dN","pSymB"
"48",0.0041,180444,"dN","pSymB"
"49",0.0093,181683.5,"dN","pSymB"
"50",0,20476.5,"dN","pSymB"
"51",0,182885,"dN","pSymB"
"52",0.0014,183783,"dN","pSymB"
"53",0.001,184830,"dN","pSymB"
"54",0.0133,185975.5,"dN","pSymB"
"55",0.0159,186813,"dN","pSymB"
"56",0.0079,187710,"dN","pSymB"
"57",0.005,188633,"dN","pSymB"
"58",0.0023,189726,"dN","pSymB"
"59",0.0085,190827.5,"dN","pSymB"
"60",0.0046,191935,"dN","pSymB"
"61",0.0054,21804.5,"dN","pSymB"
"62",0.011,193038.5,"dN","pSymB"
"63",0.0102,194210.5,"dN","pSymB"
"64",0.0069,195324,"dN","pSymB"
"65",0,196699.5,"dN","pSymB"
"66",0.0025,197711.5,"dN","pSymB"
"67",0.003,199122,"dN","pSymB"
"68",0.0035,200696.5,"dN","pSymB"
"69",0,201550.5,"dN","pSymB"
"70",0,202355,"dN","pSymB"
"71",0.001,203521,"dN","pSymB"
"72",0.0106,23522.5,"dN","pSymB"
